full_filename,owner_name,group_name,mode,type,prot_permissions,size_bytes,size_error
/Library/Ossec/wodles/azure/azure_services/analytics.py,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/wodles/azure/db/orm.py,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/wodles/azure/db/__init__.py,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/wodles/azure/db/utils.py,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/aws-s3,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/bongosec_integration.py,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/__init__.py,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/aws_tools.py,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/buckets_s3/cloudtrail.py,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/buckets_s3/config.py,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/buckets_s3/waf.py,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/buckets_s3/guardduty.py,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/buckets_s3/server_access.py,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/buckets_s3/aws_bucket.py,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/buckets_s3/__init__.py,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/buckets_s3/umbrella.py,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/buckets_s3/vpcflow.py,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/buckets_s3/load_balancers.py,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/subscribers/sqs_message_processor.py,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/subscribers/s3_log_handler.py,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/subscribers/__init__.py,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/subscribers/sqs_queue.py,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/services/cloudwatchlogs.py,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/services/inspector.py,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/services/__init__.py,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/wodles/aws/services/aws_service.py,root,bongosec,750,file,-rwxr-x---,,
/Library/Ossec/active-response/bin/restart.sh,root,bongosec,750,file,-rwxr-x---,,
